product_id,product_name,category,sub_category,brand,unit_price,cost_price
PROD0001,Product_0001,Grocery,Snacks,Brand_B,2228.63,1205.14
PROD0002,Product_0002,Fashion,Men,Brand_F,1122.65,736.88
PROD0003,Product_0003,Electronics,Laptop,Brand_B,2931.9,2300.16
PROD0004,Product_0004,Fashion,Kids,Brand_A,1005.11,550.29
PROD0005,Product_0005,Books,Education,Brand_B,5350.44,4330.65
PROD0006,Product_0006,Books,Business,Brand_F,997.09,504.72
PROD0007,Product_0007,Toys,Outdoor,Brand_A,838.82,446.18
PROD0008,Product_0008,Electronics,Mobile,Brand_A,1428.37,795.35
PROD0009,Product_0009,Sports,Outdoor,Brand_B,419.4,272.75
PROD0010,Product_0010,Home & Kitchen,Kitchenware,Brand_E,1326.68,790.34
PROD0011,Product_0011,Beauty,Makeup,Brand_A,569.66,361.06
PROD0012,Product_0012,Fashion,Men,Brand_E,2384.44,1910.08
PROD0013,Product_0013,Fashion,Men,Brand_A,2230.9,1359.16
PROD0014,Product_0014,Beauty,Makeup,Brand_F,596.75,460.33
PROD0015,Product_0015,Toys,Educational,Brand_C,768.6,402.21
PROD0016,Product_0016,Books,Fiction,Brand_B,2382.58,1810.34
PROD0017,Product_0017,Electronics,Accessories,Brand_C,5213.81,4111.08
PROD0018,Product_0018,Toys,Educational,Brand_A,1106.42,654.12
PROD0019,Product_0019,Home & Kitchen,Appliances,Brand_C,2132.91,1439.87
PROD0020,Product_0020,Sports,Fitness,Brand_B,2005.81,1123.04
PROD0021,Product_0021,Grocery,Beverages,Brand_B,2017.39,1067.35
PROD0022,Product_0022,Beauty,Haircare,Brand_A,174.42,130.21
PROD0023,Product_0023,Grocery,Staples,Brand_A,529.99,371.81
PROD0024,Product_0024,Home & Kitchen,Furniture,Brand_E,3557.69,2635.24
PROD0025,Product_0025,Fashion,Men,Brand_D,585.99,375.44
PROD0026,Product_0026,Home & Kitchen,Furniture,Brand_C,926.18,537.07
PROD0027,Product_0027,Books,Fiction,Brand_E,5305.88,3377.68
PROD0028,Product_0028,Sports,Equipment,Brand_C,740.62,385.67
PROD0029,Product_0029,Home & Kitchen,Furniture,Brand_B,1224.14,723.13
PROD0030,Product_0030,Books,Business,Brand_A,1536.54,914.56
PROD0031,Product_0031,Fashion,Women,Brand_C,2790.09,2032.99
PROD0032,Product_0032,Sports,Outdoor,Brand_D,1792.53,926.74
PROD0033,Product_0033,Sports,Equipment,Brand_B,726.59,420.32
PROD0034,Product_0034,Sports,Outdoor,Brand_F,1106.13,650.97
PROD0035,Product_0035,Fashion,Kids,Brand_B,914.62,618.68
PROD0036,Product_0036,Electronics,Mobile,Brand_E,2265.4,1310.09
